id,spot_name,latitude,longitude,continent,country,region,area,type,category,has_spots_flag,surfline_www_url,surfline_travel_url,original_depth,original_enumerated_path,lies_in_1,lies_in_2,lies_in_3
58f834fcdadb30820bf1df48,"Peniscola",40.36,0.407,"Europe","Spain","Valencia","Castellon",spot,surfline,false,https://www.surfline.com/surf-report/peniscola/584204204e65fad6a7709481,,3,"","58f834fcdadb30820bf1df38","58f80901dadb30820bcf6a99",""
58f80a48dadb30820bd0d36e,"Repulse Bay",22.235372,114.19484,"Asia","Hong Kong","Wan Chai","Wanchai",spot,surfline,false,https://www.surfline.com/surf-report/repulse-bay/584204204e65fad6a770964b,,3,"","58f80a48dadb30820bd0d365","58f80a47dadb30820bd0d2a9",""
6409f910606c45ca9c9f8cb8,"Sheraton, Novotel",6.3432,2.3998,"Africa","Republic of Benin","Littoral","Cadjèhoun",spot,surfline,true,https://www.surfline.com/surf-report/sheraton-novotel/6409f910606c45adc89f8cb3,,3,"","6409f74b606c4556369f285b","600729584661c82d430a9ca7",""
6418dce293265bb0cd177732,"Kvassheim",58.5488,5.6695,"Europe","Norway","Rogaland Fylke","Hå",spot,surfline,true,https://www.surfline.com/surf-report/kvassheim/6418dce293265b272617772c,,3,"","640b5ec8606c457f52e5ddf7","58f80a35dadb30820bd0bebb",""
640a3956b6d76943624f936b,"The Pit",45.254,-66.0213,"North America","Canada","New Brunswick","Midwood",spot,surfline,true,https://www.surfline.com/surf-report/the-pit/640a3956b6d769f0394f935d,,3,"","640a38f5e92030298e9c20b1","58f834ebdadb30820bf1d398",""
640a27f24eb37505968e6107,"Urirama",12.5917,-70.0166,"North America","Aruba","Noord","",spot,surfline,true,https://www.surfline.com/surf-report/urirama/640a27f24eb3758cc48e6102,,3,"","640a23f94eb375ba238d77ce","58f7f0b3dadb30820bb75458",""
640a5ede45190549fda44562,"Pinghai Point",22.5812,114.902,"Asia","China","Guangdong","Nanliao",spot,surfline,true,https://www.surfline.com/surf-report/pinghai-point/640a5ede4519054c24a4455c,,3,"","640a5ce5606c453231b7c0b5","58f7f27adadb30820bba10b1",""
58f7f123dadb30820bb7d696,"Ponta da Tartaruga",-26.216766,-48.498212,"South America","Brazil","Santa Catarina","São Francisco do Sul",spot,surfline,false,https://www.surfline.com/surf-report/ponta-da-tartaruga/5842041f4e65fad6a7708ee2,,3,"","58f7f11cdadb30820bb7cf3e","58f7f007dadb30820bb694e0",""
58f7efa3dadb30820bb6203b,"La Pared",18.377237,-65.714583,"North America","Puerto Rico","Luquillo Municipio","Mata de Plátano Barrio",spot,surfline,false,https://www.surfline.com/surf-report/la-pared/5842041f4e65fad6a7708c5e,,3,"","58f7efa3dadb30820bb62030","58f7eeefdadb30820bb55396",""
640a3954b6d769b9464f92c0,"Checkers",45.2496,-66.014,"North America","Canada","New Brunswick","Saint John County",spot,surfline,true,https://www.surfline.com/surf-report/checkers/640a3954b6d769afd54f92b2,,3,"","640a38f44eb3751c3492a145","58f834ebdadb30820bf1d398",""
640a5e64e920306630a554d5,"Lobster's Left",5.9646152,80.37636,"Asia","Sri Lanka","Southern Province","Galle District",spot,surfline,true,https://www.surfline.com/surf-report/lobster-s-left/640a5e64e92030781fa554d1,,3,"","640a5cba4eb37519dc9b7245","58f83473dadb30820bf1745a",""
640a5e8e99dd447a520ab61b,"Nikki Beach",25.2471,55.2548,"Asia","United Arab Emirates","Dubai","Bur Dubai",spot,surfline,true,https://www.surfline.com/surf-report/nikki-beach/640a5e8e99dd4457970ab615,,3,"","640a5cca4eb3754de69b765b","58f83555dadb30820bf23259",""
609afa9a77e94f57e7f2acee,"Zelenogradsk - Sambeach",54.964794,20.48125,"Asia","Russia","Kaliningrad","Vishnëvoye",spot,surfline,true,https://www.surfline.com/surf-report/zelenogradsk-sambeach/609afa9a77e94f3e5ff2aced,,3,"","6454306b354b586d3faaa34a","600875db40fc7792e044b2d2",""
63b7055d85b0f77e49ce4c8f,"Punta Maroma",-8.679586,-78.74644,"South America","Peru","La Libertad","Viru",spot,surfline,true,https://www.surfline.com/surf-report/punta-maroma/63a444da0c909b0206575493,,3,"","6398fc74d65a94ef0cf3cb36","58f7eff1dadb30820bb67b52",""
58f8336fdadb30820bf09f4d,"Tuesday Rock",9.839848176012513,126.1604561656053,"Asia","Philippines","Caraga","Province of Surigao del Norte",spot,surfline,false,https://www.surfline.com/surf-report/tuesday-rock/5842041f4e65fad6a7708d7d,,3,"","58f8336ddadb30820bf09db0","58f7f04edadb30820bb6e10f",""
640a4d80e92030212fa157ce,"Pullay",-36.0127,-72.7799,"South America","Chile","Ñuble","Itata",spot,surfline,true,https://www.surfline.com/surf-report/pullay/640a4d80e92030466aa157c9,,3,"","640a4c59e920306e6fa10e22","58f7efeedadb30820bb6776b",""
640b97d98284fe2c6cb0530a,"Archaia",40.7783,23.8193,"Europe","Greece","Central Macedonia","Sérres",spot,surfline,true,https://www.surfline.com/surf-report/archaia/640b97d98284fe4d1db05303,,3,"","640a7dd4606c4591c8bf09c9","58f835d9dadb30820bf297b3",""
58f7f185dadb30820bb84c5f,"Praia do Sobral",-9.666869,-35.710735,"South America","Brazil","Alagoas","Maceió",spot,surfline,false,https://www.surfline.com/surf-report/praia-do-sobral/5842041f4e65fad6a7708f71,,3,"","58f7f17edadb30820bb845ed","58f7f176dadb30820bb83c00",""
58f80a35dadb30820bd0beb2,"Hustadvika Gjestegård",62.985146,7.14656,"Europe","Norway","Møre og Romsdal fylke","Fræna",spot,surfline,false,https://www.surfline.com/surf-report/hustadvika-gjesteg-rd/584204204e65fad6a770960b,,3,"","58f80a35dadb30820bd0bea8","58f80a35dadb30820bd0bebb",""
58f833a4dadb30820bf0cb79,"Pescador",38.677,-27.059,"Europe","Portugal","Azores","Praia da Vitória Municipality",spot,surfline,false,https://www.surfline.com/surf-report/pescador/584204204e65fad6a77099ef,,3,"","58f8339ddadb30820bf0c54e","58f8339ddadb30820bf0c581",""
667daf5ee2df7c264a6ad27f,"Las Canas",19.66244286319629,-70.3166,"North America","Dominican Republic","Puerto Plata","Sosúa",spot,surfline,true,https://www.surfline.com/surf-report/las-canas/667daf5caa43a40481414433,,3,"","58f7efb1dadb30820bb63189","58f7efb1dadb30820bb631a4",""
58f7f1c5dadb30820bb89072,"São Marcos",-2.485445,-44.2979,"South America","Brazil","Maranhão","São Luís",spot,surfline,false,https://www.surfline.com/surf-report/s-o-marcos/584204204e65fad6a7708fc9,,3,"","58f7f1c5dadb30820bb8906a","58f7f1c5dadb30820bb8907d",""
58f8083fdadb30820bce8e9d,"Rocky Bay",26.5103438,-76.9724322,"North America","Bahamas","Central Abaco District","Marsh Harbour",spot,surfline,false,https://www.surfline.com/surf-report/rocky-bay/584204204e65fad6a770997e,,3,"","58f7f0a4dadb30820bb742a5","58f7f0a4dadb30820bb742c6",""
58f7f1dedadb30820bb8ad2c,"Cap Ferret Chenal",44.622,-1.258,"Europe","France","Nouvelle-Aquitaine","Gironde",spot,surfline,false,https://www.surfline.com/surf-report/cap-ferret-chenal/584204204e65fad6a7708fe8,,3,"","58f7f1dbdadb30820bb8aac7","58f7ef3fdadb30820bb5b219",""
6418e1249702726485876571,"La Courance",47.2424,-2.3156,"Europe","France","Pays de la Loire","Loire-Atlantique",spot,surfline,true,https://www.surfline.com/surf-report/la-courance/6418e1249702725a2e87656b,,3,"","640b5f02cb0556e18ea13a41","58f7efc4dadb30820bb6493f",""
598cd963dadb30820bb5cff3,"Ukushima-Sugehama",33.266358,129.14639,"Asia","Japan","Nagasaki","Sasebo Shi",spot,surfline,false,https://www.surfline.com/surf-report/ukushima-sugehama/584204204e65fad6a7709947,,3,"","599212badadb30820b8a4c7c","58f8083edadb30820bce8d2d",""
6425abe63660c032222b6602,"Sagone",42.1144,8.6905,"Europe","France","Corsica","South Corsica",spot,surfline,true,https://www.surfline.com/surf-report/sagone/6425abe63660c0824d2b65fc,,3,"","640b78474519053284d7bfe6","58f835a8dadb30820bf27415",""
6141802f29cfc626fda2e13c,"Reenroe Beach",51.8454,-10.2347,"Europe","Ireland","Munster","Co Kerry",spot,surfline,true,https://www.surfline.com/surf-report/reenroe-beach/6141802f29cfc6d6ada2e13b,,3,"","645426e25fc06940c9147658","58f7eef9dadb30820bb561d6",""
6418e1566478f0670ffa82f0,"Portopalo",36.6669,15.1291,"Europe","Italy","Sicily","Syracuse",spot,surfline,true,https://www.surfline.com/surf-report/portopalo/6418e1566478f0305afa82eb,,3,"","640b78fc4519055f37d7e675","58f834badadb30820bf1b06e",""
640f8067d19c6615e1897cba,"Aigrettes",-21.035,55.2162,"Africa","Réunion","Armagnac","",spot,surfline,true,https://www.surfline.com/surf-report/aigrettes/640f8067d19c660ba1897cb5,,3,"","640f801a38476ed15ce5f602","58f7f032dadb30820bb6c351",""
58f80a82dadb30820bd111b1,"Tai Long Wan",22.411,114.38,"Asia","Hong Kong","Sai Kung District","Sai Kung",spot,surfline,false,https://www.surfline.com/surf-report/tai-long-wan/584204214e65fad6a7709ba0,,3,"","58f80a82dadb30820bd1119e","58f80a47dadb30820bd0d2a9",""
63214ca481687e3d57016efa,"Plage Les Princesses",33.910787173991054,-6.98253,"Africa","Morocco","Rabat-Salé-Kénitra","Skhirate-Temara",spot,surfline,true,https://www.surfline.com/surf-report/plage-les-princesses/631e373919dc5f6072757fb4,,3,"","645413d108cd0d6b520df1dd","58f7f00ddadb30820bb69c08",""
